response_id,submitted_at,product,product_version,platform,country,user_segment,score1,score2,source_file,source_row,product_norm,platform_norm,country_norm,segment_norm,submitted_at_dt,score1_norm,score2_norm,umux_score
R2475,2024-10-04 09:38:32,payments,1.2,Web,BY,returning,3,4,raw_responses_sample.csv,0,Payments,Web,BY,returning,2024-10-04 09:38:32,3.0,4.0,62.5
R1114,2024-02-14 23:50:58,Payment,1.2,web,,new,2,3,raw_responses_sample.csv,1,Payments,Web,unknown,new,2024-02-14 23:50:58,2.0,3.0,37.5
R2025,2024-06-13 05:19:00,Profile,2.0,,GE,,3,3,raw_responses_sample.csv,2,Profile,unknown,GE,unknown,2024-06-13 05:19:00,3.0,3.0,50.0
R1405,2025-06-01 05:26:34,Serch,1.3,iOS,BY,returning,5,4,raw_responses_sample.csv,3,Search,iOS,BY,returning,2025-06-01 05:26:34,5.0,4.0,87.5
R2243,2024-09-07 08:21:18,Serch,1.2,Web,ru,New,2,3,raw_responses_sample.csv,4,Search,Web,RU,new,2024-09-07 08:21:18,2.0,3.0,37.5
R1453,2024-08-23 10:26:22,Check out,2.1,ANDROID,RU,,2,1,raw_responses_sample.csv,5,Checkout,Android,RU,unknown,2024-08-23 10:26:22,2.0,1.0,12.5
R1655,2025-05-17 01:52:52,Onboardng,1.3,ANDROID,BY,New,4,4,raw_responses_sample.csv,6,Onboarding,Android,BY,new,2025-05-17 01:52:52,4.0,4.0,75.0
R1979,2024-11-02 15:26:46,Onboardng,2.1,web,ru,,3,2,raw_responses_sample.csv,7,Onboarding,Web,RU,unknown,2024-11-02 15:26:46,3.0,2.0,37.5
R1390,2024-05-06 14:29:42,PROFILE,1.2,ANDROID,KZ,New,5,4,raw_responses_sample.csv,8,Profile,Android,KZ,new,2024-05-06 14:29:42,5.0,4.0,87.5
R1070,2025-04-25 15:28:21,Profile,1.2,iOS,BY,,5,4,raw_responses_sample.csv,9,Profile,iOS,BY,unknown,2025-04-25 15:28:21,5.0,4.0,87.5
R2300,2024-09-18 10:51:55,Serch,2.0,ANDROID,AM,,2,4,raw_responses_sample.csv,10,Search,Android,AM,unknown,2024-09-18 10:51:55,2.0,4.0,50.0
R1213,2024-12-18 22:04:34,Checkout,1.3,iOS,AM,new,4,4,raw_responses_sample.csv,11,Checkout,iOS,AM,new,2024-12-18 22:04:34,4.0,4.0,75.0
R2235,2025-04-28 21:05:23,Profile,1.2,,GE,,4,4,raw_responses_sample.csv,12,Profile,unknown,GE,unknown,2025-04-28 21:05:23,4.0,4.0,75.0
R1124,2025-03-05 14:21:10,CHECKOUT,1.2,Web,,power,4,4,raw_responses_sample.csv,13,Checkout,Web,unknown,power,2025-03-05 14:21:10,4.0,4.0,75.0
R1679,2024-05-05 08:31:31,Profile,2.0,,KZ,new,4,4,raw_responses_sample.csv,14,Profile,unknown,KZ,new,2024-05-05 08:31:31,4.0,4.0,75.0
R1277,2024-04-05 23:29:40,PROFILE,2.0,,BY,,2,2,raw_responses_sample.csv,15,Profile,unknown,BY,unknown,2024-04-05 23:29:40,2.0,2.0,25.0
R1227,2025-01-02 09:16:23,Serch,2.0,web,RU,,2,3,raw_responses_sample.csv,16,Search,Web,RU,unknown,2025-01-02 09:16:23,2.0,3.0,37.5
R1136,2024-02-28 11:53:18,Payments,1.2,,ru,,2,3,raw_responses_sample.csv,17,Payments,unknown,RU,unknown,2024-02-28 11:53:18,2.0,3.0,37.5
R1720,2025-01-25 09:25:42,Payment,1.2,Android,GE,new,4,3,raw_responses_sample.csv,18,Payments,Android,GE,new,2025-01-25 09:25:42,4.0,3.0,62.5
R1351,2025-02-23 16:01:55,Onboarding,1.3,web,KZ,,3,3,raw_responses_sample.csv,19,Onboarding,Web,KZ,unknown,2025-02-23 16:01:55,3.0,3.0,50.0
R1539,2024-11-11 09:46:49,ONBOARDING,1.3,Web,,returning,3,3,raw_responses_sample.csv,20,Onboarding,Web,unknown,returning,2024-11-11 09:46:49,3.0,3.0,50.0
R1758,2024-01-07 07:53:51,ONBOARDING,2.1,Web,BY,returning ,5,4,raw_responses_sample.csv,21,Onboarding,Web,BY,returning,2024-01-07 07:53:51,5.0,4.0,87.5
R1893,2025-05-18 02:50:44,profile,1.2,Android,GE,,3,2,raw_responses_sample.csv,22,Profile,Android,GE,unknown,2025-05-18 02:50:44,3.0,2.0,37.5
R1962,2025-02-16 03:46:33,Profile,1.3,,ru,,3,4,raw_responses_sample.csv,23,Profile,unknown,RU,unknown,2025-02-16 03:46:33,3.0,4.0,62.5
R1503,2024-09-17 11:28:28,ONBOARDING,1.3,iOS,,new,2,3,raw_responses_sample.csv,24,Onboarding,iOS,unknown,new,2024-09-17 11:28:28,2.0,3.0,37.5
R1798,2025-05-20 11:02:17, Payments,2.0,,,returning ,3,2,raw_responses_sample.csv,25,Payments,unknown,unknown,returning,2025-05-20 11:02:17,3.0,2.0,37.5
R2199,2025-04-23 17:11:48,Checkout,1.3,web,ru,returning ,5,4,raw_responses_sample.csv,26,Checkout,Web,RU,returning,2025-04-23 17:11:48,5.0,4.0,87.5
R2317,2024-04-10 18:06:07,Profile,1.2,Web,GE,,3,3,raw_responses_sample.csv,27,Profile,Web,GE,unknown,2024-04-10 18:06:07,3.0,3.0,50.0
